MBKOM;NAKOM;SNKOM;RBGR;ADKOM
7159757;PORD BGD 265-1100310003375-12 BGD;PORD;02449;
6991092;RUDNIK VRSKA CUKA;VRSKA CUKA;03099;
6996891;MITROVIC LJUBISA;MITROVIC;00159;DINARSKA 14
7155174;HE BAJNA BASTA;BAJNA;01960;
7159439;GIP JEDINSTVO;GIP JEDI;02450;
7269269;MLIN NAPREDAK;MLIN;02895;
6980929;VP REGULACIJA;REGULACIJA;02498;
6705057;JP EPS Ogranak TE-KO Kostolac;DRMNO;01232;
6980937;LMK ENERGY;ENERGY;01255;
7163690;DP VOCAR;VOCAR;02450;
7200480;GOSA ELEKTROOPREMA;ELO;02450;INDUSTRIJSKA 70
6980988;RUDNIK I FLOTACIJA LACE;LECE;01616;
7113005;DP VENCAC;VENCAC;00022;
7143095;ZVEZDA;ZVEZDA;02895;
6992030;METALKOP;METALKOP;02862;
6992242;FEROPLAST;FEROPLAST;03046;
6992609;GLOBAL TEHNO 150-3200310001441-04;GLOBAL;02740;
6019994;TVORNICA REZERVNI DELOVA;TVO REZ DE;02867;
6998046;PREDUZECE ZA PUTEVE;PRED ZA PU;02862;
6997724;JANTEKS;JANTEKS;02895;
7034849;ZMAJ;ZMAJ;03120;
7349700;GOSA DRUMSKA VOZILA;DV;02450;INDUSRISKA 70
7343264;GOSA FOPIG;FOPIG;02450;INDUSRISKA 70
7317280;GOSA SINSKA VOZILA;GOSA;02450;INDUSRISKA 70
7014813;GOSA INSTITUT DOO:;INSTITUT;02450;MILANA RAKICA 35
6704093;SPORTSKO DRUS GOSA;SPOR DRUS;02450;INDUSRISKA 70
6024254;GOSA HOLDING KORPORACIJA AD:;HG GOSA;02450;INDUSRISKA 70
9035508;GOSA METALAC;METALAC;00786;NIKOLE TESLE BB
7274513;GOSA RO MIP OOUR GORENJE;GORENJE;00786;BRACE NESICA 55A
7264399;GOSA MONTAZA;MONTAZA;01992;Bulevar Arsenije Carnoje
7291515;SERVIS DV;SERVIS DV;02675;
6330062;GOSA ZASTITNA SOLKO;SOLKO;02450;INDUSRISKA 70
7316828;GOSA SOLKO d.o.o. 160-65880-25;SOLKO;02450;I srpskog ustanka 202
7627351;GOSA FABRIKA SPECI OPREME;FSP OPREME;02399;
7319967;STAMBENA ZADRUGA GOSA;SZ GOSA;02450;
