"MBRD,C,7","RBVP,C,3","SLOV,C,1","SATI,N,6,2","IZNO,N,14,3","PERC,N,14,4","KOEF,N,12,3","POK2,C,1","RBRM,C,3","KESC,C,1","RBPS,C,2","P_R,C,1","RBMZ,C,4","RBOP,C,4","RBIM,C,3","RBTC,C,8","SIFK,C,5","SALD,N,10,2","STSALD,N,12,2","RATB,N,12,2","RATP,N,12,2","NEAK,N,12,3","REC,N,1,0","RBZA,C,1","GRAD,C,10","KPREB,N,5,3","LPREB,N,5,3","PART,C,30","HKMB,C,7","MRBTC,C,8","POROSL,N,10,2","NAZI,C,20"
0006127,065,T,0,5000,0,,K,005,R,02,P,,,930,32230000,,,,,,,,,,,,,0006127,,,
0006134,090,T,0,1006.211,0,,K,004,R,03,U,,,991,32320000,,,,,,,,,,,,,0006134,,,
0006174,090,T,0,993.416,0,,K,005,R,03,P,,,991,32320000,,,,,,,,,,,,,0006174,,,
0006216,065,T,0,5000,0,,K,005,R,03,U,,,930,32210000,,,,,,,,,,,,,0006216,,,
0006216,090,T,0,571.007,0,,K,005,R,03,U,,,930,32210000,,,,,,,,,,,,,0006216,,,
0006225,065,T,0,3240,0,,K,005,R,04,P,,,930,32230000,,,,,,,,,,,,,0006225,,,
0006234,090,T,0,0,0,,K,005,R,03,P,,,910,32320000,,,,,,,,,,,,,0006234,,,
0006238,065,T,0,5000,0,,K,005,R,08,R,,,930,41000000,,,,,,,,,,,,,0006238,,,
0006264,090,T,0,701.618,0,,K,005,R,03,U,,,910,32210000,,,,,,,,,,,,,0006264,,,
0006293,090,T,0,821.595,0,,K,005,R,03,P,,,997,32120000,,,,,,,,,,,,,0006293,,,
0006400,090,T,0,755.212,0,,K,005,R,03,P,,,920,32320000,,,,,,,,,,,,,0006400,,,
0006444,090,T,0,836.293,0,,K,005,R,02,P,,,991,32220000,,,,,,,,,,,,,0006444,,,
0006450,090,T,0,513.903,0,,K,005,R,03,P,0003,0093,930,32320000,,,,,,,,,,,,,0006450,,,
0006469,090,T,0,881.332,0,,K,005,R,03,P,,,930,32320000,,,,,,,,,,,,,0006469,,,
0006484,090,T,0,752.741,0,,K,005,R,03,U,,,930,23200000,,,,,,,,,,,,,0006484,,,
