RBVP;NAZI;BLOK;SLOV,C,1;POK1,C,1;POK2,C,1;POK3,C,1;DOVP,L;DFVP,C,1;KESC,C,1;EFSA,L;PRKV,N,2,0;M4,C,1;REDOSLED_POENTAZA_OPIS;PREF,C,1;REDOSLED_POENTAZA;PROD,C,1;PLAC,C,1;PRE,C,1;KONT1,C,6;ANSI1,C,1;ZNAK1,N,2,0;MBKO1,C,7;KONT2,C,6;ANSI2,C,1;ZNAK2,N,2,0;MBKO2,C,7;KONT3,C,6;ANSI3,C,1;ZNAK3,N,2,0;MBKO3,C,7;KONT4,C,6;ANSI4,C,1;ZNAK4,N,2,0;MBKO4,C,7;ZIRO,C,30;PB,C,2;PART,C,20;MONTA,C,1;KATEG,C,1;SM,C,1;OGRAN,C,1;PROSEK,C,1;VARI,C,1
455;BOLOVANJE 65%     I;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*0.65*MDR->KFAK };O;3;G;;1;P;P;0;3;3;31;N;19;0;5;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;;
456;BOLOVANJE 100%    I;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*MDR->KFAK };O;3;G;;1;;P;0;3;3;31;N;19;0;5;2;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;;
457;PLACENO ODSUSTVO  I;{ || KOP->SATI*KOE->C_R*MDR->KOEF/176*0.60*MDR->KFAK };O;3;G;;0;;P;0;3;3;31;N;19;0;3;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;;
458;RENTA;{ || KOP->IZNO*NTO->STOPA1 };C;3;G;;1;P;P;0;2;2;31;N;31;0;3;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;;3;
460;NORMA SATI (F);{ || KOP->SATI*MDR->KOEF/176*MDR->PREB*MDR->KFAK };D;2;G;S;1;P;P;0;2;2;31;N;19;0;2;1;;;0;;;;0;;;;0;;;;0;;;;;1;;;2;2;
461;EFEKTIVNI SATI(pr-F);{ || KOP->IZNO };A;3;G;;1;P;P;1;3;3;31;D;19;1;3;2;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;3;
462;PAUZA/RUCAK (F);{ || KOP->SATI*MDR->KOEF/176*MDR->KFAK };I;3;G;;1;P;P;1;3;3;31;D;19;0;3;0;;;0;;;;0;;;;0;;;;0;;;;;1;;;3;3;
463;PREKOVREMENI 26% (F);{ || KOP->SATI*MDR->KOEF/176*1.26*MDR->KFAK };G;3;I;S;1;;P;1;3;2;31;N;19;1;3;0;;;0;;;;0;;;;0;;;;0;;;;;;;1;;3;
464;RAD NA PRAZ. 50% (F);{ || KOP->SATI*MDR->KOEF/176*1.5*MDR->KFAK  };G;3;I;S;1;;P;1;3;2;31;D;19;1;2;0;;;0;;;;0;;;;0;;;;0;;;;;;;1;;3;
465;TEKUCI RAD-REZIJA-F;{ || KOP->SATI*MDR->KOEF/176*MDR->PRPB*MDR->KFAK };A;3;G;;1;P;P;1;3;3;31;D;19;1;3;2;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;3;
