SM;SIFRA_Materijala;NAZIV;DIMENZIJA;KVALITET;STANDARD;JM;KONTO;POCST_Kolicina;POCST_Vrednost;ULAZKolicina;ULAZ_Vrednost;IZLAZKolicina;IZLAZ_Vrednost;STANJE_Kolicina;STANJE_Vrednost;CENA
52;311800359;VIJAK;22.00.0071/1 (16x117);;;kom;101000;45;7528.5;0;0;0;0;45;7528.5;167.3
52;311800364;VIJAK;M 16 x  60;8.8;JUS M.B1.260;kom;101000;13;415.21;0;0;0;0;13;415.21;31.94
52;311800366;VIJAK;M 10 x  25;8.8;JUS M.B1.290;kom;101000;2;50.27;0;0;0;0;2;50.27;25.14
52;311800371;VIJAK;M 10 x  25;8.8;JUS M.B1.280;kom;101000;3;78.55;0;0;0;0;3;78.55;26.18
52;311800372;BREZOV PO CR;M 8x293;8.8;;kom;101000;1;159.2;0;0;0;0;1;159.2;159.2
52;311800373;VIJAK;M  6 x  14;5.8;JUS M.B1.290;kom;101000;8;118.21;0;0;0;0;8;118.21;14.78
52;311800383;VIJAK;51021-47-013(20x185);8.8;;kom;101000;2;1105;0;0;0;0;2;1105;552.5
52;311800384;VIJAK ANKER;25/40;FA;;kom;101000;11;7645;0;0;0;0;11;7645;695
52;311800385;VIJAK PO CRT;10x144;;;kom;101000;1;50;0;0;0;0;1;50;50
52;311800387;VIJAK;M 24 x  90;8.8;JUS M.B1.260;kom;101000;1;249.89;0;0;0;0;1;249.89;249.89
52;311800388;VIJAK;M 24 x 180;8.8;JUS M.B1.260;kom;101000;3;1418.47;0;0;0;0;3;1418.47;472.82
52;311800402;VIJAK;M  6 x  12;8.8;JUS M.B1.280;kom;101000;2;36.35;0;0;0;0;2;36.35;18.18
52;311800403;VIJAK;M 12 x  35;8.8;JUS M.B1.280;kom;101000;24;617.62;0;0;0;0;24;617.62;25.73
52;311800404;VIJAK;M  6 x  16;10.9;JUS M.B1.270;kom;101000;3;44.96;0;0;0;0;3;44.96;14.99
52;311800414;VIJAK;M 12 x  40;8.8;JUS M.B1.280;kom;101000;15;547.5;0;0;0;0;15;547.5;36.5
52;311800418;VIJAK SVORNI;30055A-12-27(8x60);;;kom;101000;1;62.31;0;0;0;0;1;62.31;62.31
52;311800419;VIJAK;M 12 x  50;8.8CADM;JUS M.B1.260;kom;101000;2;72.17;0;0;0;0;2;72.17;36.09
52;311800422;VIJAK;30089-05-07-01-01;8.8;;kom;101000;4;105.66;0;0;0;0;4;105.66;26.42
52;311800424;VIJAK-ANKER;M 12    18/50  L150;8.8;;kom;101000;12;5960.79;0;0;0;0;12;5960.79;496.73
52;311800430;VIJAK;M 16 x 120;8.8;JUS M.B1.260;kom;101000;1;101;0;0;0;0;1;101;101
52;311800436;VIJAK;M 20 x 120;8.8;JUS M.B1.270;kom;101000;10;4510.5;0;0;0;0;10;4510.5;451.05
52;311800438;VIJAK ANKER;15/50  L=130   M10   A;8.8;;kom;101000;2;428.91;0;0;0;0;2;428.91;214.46
52;311800439;VIJAK;LAN 40009   12x60;5.8;;kom;101000;4;168;0;0;0;0;4;168;42
52;311800440;VIJAK;LAN 40009  12x40;5.8;;kom;101000;7;266;0;0;0;0;7;266;38
52;311800441;VIJAK;LAN 40009   12x30;5.8;;kom;101000;6;198;0;0;0;0;6;198;33
52;311800444;VIJAK -ANKER;20/50  FA;FA;;kom;101000;10;4100;0;0;0;0;10;4100;410
52;311800445;VIJAK;M  8 x   8;10.9;JUS M.B1.270;kom;101000;20;580;0;0;0;0;20;580;29
52;311800446;VIJAK;M 10 x  15;10.9;JUS M.B1.272;kom;101000;19;703;0;0;0;0;19;703;37
52;311800447;VIJAK;M 12 x  20;10.9;JUS M.B1.272;kom;101000;16;720;0;0;0;0;16;720;45
52;311800448;VIJAK;M 16 x  16;10.9;JUS M.B1.270;kom;101000;20;1990;0;0;0;0;20;1990;99.5
52;311800451;VIJAK;M 12 x  30;5.8;JUS M.B1.280;kom;101000;46;1830.99;0;0;0;0;46;1830.99;39.8
52;311800452;VIJAK;30084-08-08-03  (22x34;8.8;;kom;101000;4;1812;0;0;0;0;4;1812;453
52;311800455;VIJAK;50021-83-052  (24x360);10.9;;kom;101000;1;1011.55;0;0;0;0;1;1011.55;1011.55
52;311800456;VIJAK;50021-81-052   20x310;10.9;;kom;101000;2;1451.11;0;0;0;0;2;1451.11;725.55
52;311800460;VIJAK;19019-85-040 (42x3x150;8.8;;kom;101000;3;11931.8;0;0;0;0;3;11931.8;3977.27
52;311800462;VIJAK;M  4 x  10;5.8;JUS M.B1.290;kom;101000;6;155.12;0;0;0;0;6;155.12;25.85
52;311800463;VIJAK;M 16 x 130;8.8;JUS M.B1.260;kom;101000;9;1575;0;0;0;0;9;1575;175
52;311800465;VIJAK;M  5 x  12;5.8;JUS M.B1.291;kom;101000;4;128.71;0;0;0;0;4;128.71;32.18
52;311800467;VIJAK;M 16 x  60;10.9;JUS M.B1.260;kom;101000;2;110;0;0;0;0;2;110;55
52;311800486;VIJAK;DKM 710-23   36x2x100;C 1531.4;;kom;101000;3;1374.06;0;0;0;0;3;1374.06;458.02
52;311800488;VIJAK ANKER;28/30    L-190;8.8;;kom;101000;2;2201.59;0;0;0;0;2;2201.59;1100.8
52;311800489;VIJAK;M 10 x  30;8.8;JUS M.B1.282;kom;101000;19;810.52;0;0;0;0;19;810.52;42.66
52;311800490;VIJAK ANKER;M 12;;FC;kom;101000;4;184.32;0;0;0;0;4;184.32;46.08
52;311800491;VIJAK;M  8 x  10;5.8;JUS M.B1.280;kom;101000;11;149.6;0;0;0;0;11;149.6;13.6
52;311800492;VIJAK;M  8 x  10;10.9;JUS M.B1.270;kom;101000;2;30.84;0;0;0;0;2;30.84;15.42
52;311800493;VIJAK;M  8 x  20;10.9;JUS M.B1.270;kom;101000;3;57.04;0;0;3;57.04;0;0;0
52;311800494;VIJAK;M  5 x   8;10.9;JUS M.B1.270;kom;101000;13;169;0;0;0;0;13;169;13
